epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.7596338987350464,0.8435060977935791,9.999999747378752e-05,0.48811930418014526,0.335999995470047,0.8811848163604736,1.2339324951171875
1,0.7756326198577881,0.8720094561576843,9.999999747378752e-05,0.44327113032341003,0.6821538209915161,0.558053195476532,4.157618522644043
2,0.780170738697052,0.8775010108947754,9.999999747378752e-05,0.4346604645252228,0.681538462638855,0.5342994928359985,3.759167432785034
3,0.7880932092666626,0.8848719000816345,9.999999747378752e-05,0.4228017330169678,0.318461537361145,0.5,26.52642250061035
4,0.7920159697532654,0.892947793006897,4.999999873689376e-05,0.4062574803829193,0.8181538581848145,0.8949230909347534,0.3804281949996948
5,0.7977078557014465,0.8946689367294312,4.999999873689376e-05,0.40302759408950806,0.3384615480899811,0.8811140656471252,1.0245659351348877
6,0.7927851676940918,0.8956544399261475,4.999999873689376e-05,0.4012075364589691,0.6924615502357483,0.6832982301712036,1.868988037109375
7,0.7953234314918518,0.8952071070671082,4.999999873689376e-05,0.4033893048763275,0.32199999690055847,0.5111722946166992,7.45805025100708
8,0.7967079281806946,0.900962769985199,2.499999936844688e-05,0.39081794023513794,0.7444615364074707,0.9006084203720093,0.5139909386634827
9,0.798477053642273,0.9009235501289368,2.499999936844688e-05,0.3901219964027405,0.7795384526252747,0.9058876633644104,0.39776989817619324
